Loinc_2.74_Export_20230727233915
LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
32864-1,Frankfort horizontal plane to mandibular plane,Angle,Pt,Skull,Qn,XR.measured,DENTAL,2.48,ACTIVE,2,,,deg,Frankfort horizontal plane to mandibular plane [Angle] Skull X-ray measured,deg,2.09,FALSE,Frankfort horizontal plane to mandibular plane:Angle:Pt:Skull:Qn:XR.measured
32865-8,Frankfort horizontal plane to mandibular plane,Angle,Pt,Skull,Qn,CT.measured,DENTAL,2.48,ACTIVE,2,,,deg,Frankfort horizontal plane to mandibular plane [Angle] Skull CT measured,deg,2.09,FALSE,Frankfort horizontal plane to mandibular plane:Angle:Pt:Skull:Qn:CT.measured
32866-6,Frankfort horizontal plane to mandibular plane,Angle,Pt,Skull,Qn,Digital model.measured,DENTAL,2.48,ACTIVE,2,,,deg,Frankfort horizontal plane to mandibular plane [Angle] Skull Digital model.measured,deg,2.09,FALSE,Frankfort horizontal plane to mandibular plane:Angle:Pt:Skull:Qn:Digital model.measured
32867-4,First tooth space boundary,Prid,Pt,{Tooth},Nom,,DENTAL,2.27,ACTIVE,2,,,,First tooth space boundary [Identifier],,2.09,FALSE,First tooth space boundary:Prid:Pt:{Tooth}:Nom:
32868-2,Second tooth space boundary,Prid,Pt,{Tooth},Nom,,DENTAL,2.27,ACTIVE,2,,,,Second tooth space boundary [Identifier],,2.09,FALSE,Second tooth space boundary:Prid:Pt:{Tooth}:Nom:
32869-0,Tooth space,Len,Pt,{First tooth space boundary} {second tooth space boundary},Qn,Measured,DENTAL,2.48,ACTIVE,2,,,mm,Tooth space {First tooth space boundary} {second tooth space boundary} Measured,mm,2.09,FALSE,Tooth space:Len:Pt:{First tooth space boundary} {second tooth space boundary}:Qn:Measured
32871-6,Second facial landmark,Prid,Pt,Head,Nom,,DENTAL,2.56,ACTIVE,2,,,,Second facial landmark [Identifier] Head,,2.09,FALSE,Second facial landmark:Prid:Pt:Head:Nom:
32874-0,Dental treatment anatomical site access,Imp,Pt,Head,Ord,,DENTAL,2.27,ACTIVE,2,Observation,,,Dental treatment anatomical site access Head,,2.09,FALSE,Dental treatment anatomical site access:Imp:Pt:Head:Ord:
32875-7,Guardian previously informed of patient condition,Find,Pt,^Guardian,Ord,Observed,DENTAL,2.56,ACTIVE,2,,,,Guardian previously informed of patient condition,,2.09,FALSE,Guardian previously informed of patient condition:Find:Pt:^Guardian:Ord:Observed
32876-5,Guardian informed of patient condition,Find,Pt,^Guardian,Ord,Observed,DENTAL,2.56,ACTIVE,2,,,,Guardian informed of patient condition Guardian Observed,,2.09,FALSE,Guardian informed of patient condition:Find:Pt:^Guardian:Ord:Observed
32877-3,Guardian previous action taken,Find,Pt,^Guardian,Ord,Observed,DENTAL,2.56,ACTIVE,2,,,,Guardian previous action taken Guardian Observed,,2.09,FALSE,Guardian previous action taken:Find:Pt:^Guardian:Ord:Observed
32878-1,Guardian current action taken,Find,Pt,^Guardian,Ord,Observed,DENTAL,2.56,ACTIVE,2,,,,Guardian current action taken Guardian Observed,,2.09,FALSE,Guardian current action taken:Find:Pt:^Guardian:Ord:Observed
32879-9,Noncompliance with dental treatment,Find,Pt,^Patient,Ord,,DENTAL,2.27,ACTIVE,2,,,,Noncompliance with dental treatment,,2.09,FALSE,Noncompliance with dental treatment:Find:Pt:^Patient:Ord:
