Loinc_2.74_Export_20230728212435 copy
LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
71575-5,ECG,Type,Pt,^Patient,Nom,NEMSIS,NEMSIS,2.73,ACTIVE,2,Observation,,,ECG NEMSIS,,2.40,FALSE,ECG:Type:Pt:^Patient:Nom:NEMSIS
71577-1,ECG interpretation method,Find,Pt,^Patient,Nom,NEMSIS,NEMSIS,2.67,ACTIVE,2,Observation,,,ECG interpretation method NEMSIS,,2.40,FALSE,ECG interpretation method:Find:Pt:^Patient:Nom:NEMSIS
80090-4,Pre ejection time,Time,Pt,Heart.ventricle.right,Qn,US.doppler+ECG,CARD.US.DICOM,2.54,ACTIVE,2,Observation,,ms,Right ventricular Pre ejection time by US.doppler+ECG,ms,2.54,FALSE,Pre ejection time:Time:Pt:Heart.ventricle.right:Qn:US.doppler+ECG
79972-6,Time to peak displacement.systole,Time,Pt,Heart.interventricular septum,Qn,US.M-mode+ECG,CARD.US.DICOM,2.54,ACTIVE,2,Observation,,ms,Interventricular septum Time to peak displacement during systole by US.M-mode+ECG,ms,2.54,FALSE,Time to peak displacement.systole:Time:Pt:Heart.interventricular septum:Qn:US.M-mode+ECG
79988-2,Time to peak displacement.systole,Time,Pt,Heart.ventricle.left.posterior wall,Qn,US.M-mode+ECG,CARD.US.DICOM,2.54,ACTIVE,2,Observation,,ms,Left ventricular posterior wall Time to peak displacement during systole by US.M-mode+ECG,ms,2.54,FALSE,Time to peak displacement.systole:Time:Pt:Heart.ventricle.left.posterior wall:Qn:US.M-mode+ECG
76281-5,Arrhythmia,Type,Pt,Heart,Nom,EKG,EKG.IMP,2.54,ACTIVE,2,Both,,,Type of arrhythmia on EKG,,2.54,FALSE,Arrhythmia:Type:Pt:Heart:Nom:EKG
11524-6,EKG study,Find,Pt,Heart,Doc,EKG,CARD.PROC,2.72,ACTIVE,2,Both,,,EKG study,,1.0j-a,FALSE,EKG study:Find:Pt:Heart:Doc:EKG
8605-8,Class,Type,Pt,EKG leads,Nom,EKG,EKG.ATOM,2.29,ACTIVE,2,Observation,,,Type of EKG leads,,1.0h(3),FALSE,Class:Type:Pt:EKG leads:Nom:EKG
8604-1,Class,Type,Pt,Pacemaker,Nom,EKG,DEVICES,2.72,ACTIVE,2,Observation,,,Type of Pacemaker by EKG,,1.0h(3),FALSE,Class:Type:Pt:Pacemaker:Nom:EKG
8607-4,Axis,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Axis [Interpretation] by EKG,,1.0h(3),FALSE,Axis:Imp:Pt:Heart:Nom:EKG
8601-7,EKG impression,Imp,Pt,Heart,Nom,EKG,EKG.ATOM,2.73,ACTIVE,2,Observation,,,EKG impression,,1.0h(3),FALSE,EKG impression:Imp:Pt:Heart:Nom:EKG
44967-8,Electrocardiograph lead,Find,Pt,^Patient,Nom,,EKG.MEAS,2.73,ACTIVE,2,Observation,,,Electrocardiograph lead,,2.17,FALSE,Electrocardiograph lead:Find:Pt:^Patient:Nom:
44973-6,QRS duration,Time,Pt,{Electrocardiograph lead},Qn,,EKG.MEAS,2.48,ACTIVE,2,Observation,,ms,QRS duration {Electrocardiograph lead},ms,2.17,FALSE,QRS duration:Time:Pt:{Electrocardiograph lead}:Qn:
8609-0,Hypertrophy,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Hypertrophy [Interpretation] by EKG,,1.0h(3),FALSE,Hypertrophy:Imp:Pt:Heart:Nom:EKG
8606-6,Study duration,Time,Stdy,Heart,Qn,EKG,EKG.ATOM,2.27,ACTIVE,2,Observation,,,Study duration by EKG,,1.0h(3),FALSE,Study duration:Time:Stdy:Heart:Qn:EKG
18810-2,Study observation.overall,Find,Pt,Heart,Nar,EKG,EKG.IMP,2.29,ACTIVE,2,,,,EKG Study observation overall (narrative),,1.0l,FALSE,Study observation.overall:Find:Pt:Heart:Nar:EKG
8612-4,Study observation.overall,Find,Pt,Heart,Nom,EKG,EKG.IMP,2.29,ACTIVE,2,Observation,,,EKG Study overall,,1.0h(3),FALSE,Study observation.overall:Find:Pt:Heart:Nom:EKG
8637-1,RR interval,Time,Pt,Heart,Qn,EKG,EKG.MEAS,2.73,ACTIVE,2,Observation,,s,R-R interval by EKG,s,1.0h(3),FALSE,RR interval:Time:Pt:Heart:Qn:EKG
8608-2,Conduction,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Conduction [Interpretation] by EKG,,1.0h(3),FALSE,Conduction:Imp:Pt:Heart:Nom:EKG
8618-1,Recording duration,Time,Stdy,Heart,Qn,EKG,EKG.IMP,2.27,ACTIVE,2,Observation,,,Recording duration by EKG,,1.0h(3),FALSE,Recording duration:Time:Stdy:Heart:Qn:EKG
28010-7,Report.total,Find,Pt,Heart,Nar,EKG,ATTACH.CLINRPT,2.27,ACTIVE,3,,,,EKG Report (narrative),,2.00,FALSE,Report.total:Find:Pt:Heart:Nar:EKG
9866-5,Axis,Imp,Pt,Heart,Nar,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Axis [Interpretation] Narrative by EKG,,1.0i,FALSE,Axis:Imp:Pt:Heart:Nar:EKG
76637-8,Beats.total,Num,Stdy^total,Heart,Qn,EKG,EKG.MEAS,2.52,ACTIVE,2,Observation,,#,Total beats during EKG,{#},2.52,FALSE,Beats.total:Num:Stdy^total:Heart:Qn:EKG
18844-1,EKG impression,Imp,Pt,Heart,Nar,EKG,EKG.ATOM,2.40,ACTIVE,2,Observation,,,EKG impression Narrative,,1.0l,FALSE,EKG impression:Imp:Pt:Heart:Nar:EKG
8622-3,Ventricular morphology,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Ventricular morphology [Interpretation] by EKG,,1.0h(3),FALSE,Ventricular morphology:Imp:Pt:Heart:Nom:EKG
44976-9,PR interval,Time,Pt,{Electrocardiograph lead},Qn,,EKG.MEAS,2.48,ACTIVE,2,Observation,,s,P-R Interval {Electrocardiograph lead},s,2.17,FALSE,PR interval:Time:Pt:{Electrocardiograph lead}:Qn:
8617-3,QRS complex,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,QRS complex [Interpretation] by EKG,,1.0h(3),FALSE,QRS complex:Imp:Pt:Heart:Nom:EKG
44975-1,QT interval,Time,Pt,{Electrocardiograph lead},Qn,,EKG.MEAS,2.48,ACTIVE,2,Observation,,s,Q-T interval {Electrocardiograph lead},s,2.17,FALSE,QT interval:Time:Pt:{Electrocardiograph lead}:Qn:
9869-9,Hypertrophy,Imp,Pt,Heart,Nar,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Hypertrophy [Interpretation] Narrative by EKG,,1.0i,FALSE,Hypertrophy:Imp:Pt:Heart:Nar:EKG
91546-2,ST deviation,Elpot,Stdy^max,Heart,Qn,EKG,EKG.MEAS,2.66,ACTIVE,2,Both,,mv,ST deviation (Maximum value during study) by EKG,mV,2.66,FALSE,ST deviation:Elpot:Stdy^max:Heart:Qn:EKG
9861-6,Style,Type,Pt,Pacemaker lead,Nom,EKG,EKG.ATOM,2.72,ACTIVE,2,Observation,,,Style Pacemaker lead by EKG,,1.0i,FALSE,Style:Type:Pt:Pacemaker lead:Nom:EKG
8619-9,Rhythm segment,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Rhythm segment [Interpretation] by EKG,,1.0h(3),FALSE,Rhythm segment:Imp:Pt:Heart:Nom:EKG
9859-0,Class,Type,Pt,Pacemaker lead,Nom,EKG,EKG.ATOM,2.72,ACTIVE,2,Observation,,,Type of Pacemaker lead by EKG,,1.0i,FALSE,Class:Type:Pt:Pacemaker lead:Nom:EKG
9868-1,Conduction,Imp,Pt,Heart,Nar,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Conduction [Interpretation] Narrative by EKG,,1.0i,FALSE,Conduction:Imp:Pt:Heart:Nar:EKG
18845-8,Reference beat type,Prid,Pt,Heart,Nar,EKG,ATTACH.CLINRPT,2.27,ACTIVE,3,,,,Reference beat type (narrative) by EKG,,1.0l,FALSE,Reference beat type:Prid:Pt:Heart:Nar:EKG
76000-9,Beats.paced,NRat,Pt,Heart,Qn,EKG,EKG.MEAS,2.54,ACTIVE,2,Both,,/min,Paced heart rate by EKG,/min,2.54,FALSE,Beats.paced:NRat:Pt:Heart:Qn:EKG
9867-3,Cardiac pacemaker prosthetic,Imp,Pt,Heart,Nar,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Prosthetic cardiac pacemaker [Interpretation] Narrative by EKG,,1.0i,FALSE,Cardiac pacemaker prosthetic:Imp:Pt:Heart:Nar:EKG
8613-2,Cardiac pacemaker prosthetic,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Prosthetic cardiac pacemaker [Interpretation] by EKG,,1.0h(3),FALSE,Cardiac pacemaker prosthetic:Imp:Pt:Heart:Nom:EKG
8602-5,Vendor model number,Prid,Pt,Pacemaker,Nom,EKG,DEVICES,2.72,ACTIVE,2,Observation,,,Pacemaker Vendor model number by EKG,,1.0h(3),FALSE,Vendor model number:Prid:Pt:Pacemaker:Nom:EKG
8603-3,Vendor serial number,ID,Pt,Pacemaker,Nom,EKG,DEVICES,2.72,ACTIVE,2,Observation,,,Pacemaker Vendor serial number by EKG,,1.0h(3),FALSE,Vendor serial number:ID:Pt:Pacemaker:Nom:EKG
9876-4,Ventricular morphology,Imp,Pt,Heart,Nar,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Ventricular morphology [Interpretation] Narrative by EKG,,1.0i,FALSE,Ventricular morphology:Imp:Pt:Heart:Nar:EKG
8611-6,Myocardial infarction age,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.27,ACTIVE,2,Observation,,,Myocardial infarction age by EKG,,1.0h(3),FALSE,Myocardial infarction age:Imp:Pt:Heart:Nom:EKG
9872-3,Myocardial ischemia,Imp,Pt,Heart,Nar,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Myocardial ischemia [Interpretation] Narrative by EKG,,1.0i,FALSE,Myocardial ischemia:Imp:Pt:Heart:Nar:EKG
8610-8,Myocardial ischemia,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Myocardial ischemia [Interpretation] by EKG,,1.0h(3),FALSE,Myocardial ischemia:Imp:Pt:Heart:Nom:EKG
9873-1,QRS complex,Imp,Pt,Heart,Nar,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,QRS complex [Interpretation] Narrative by EKG,,1.0i,FALSE,QRS complex:Imp:Pt:Heart:Nar:EKG
76645-1,Stress test type,Type,Pt,Cardiac stress study,Nom,EKG,CARD.RISK,2.52,ACTIVE,2,Both,,,Cardiac stress test EKG study Type,,2.52,FALSE,Stress test type:Type:Pt:Cardiac stress study:Nom:EKG
8620-7,ST-T segment,Imp,Pt,Heart,Nom,EKG,EKG.IMP,2.73,ACTIVE,2,Observation,,,ST-T segment [Interpretation] by EKG,,1.0h(3),FALSE,ST-T segment:Imp:Pt:Heart:Nom:EKG
9874-9,Rhythm segment,Imp,Pt,Heart,Nar,EKG,EKG.IMP,2.50,ACTIVE,2,Observation,,,Rhythm segment [Interpretation] Narrative by EKG,,1.0i,FALSE,Rhythm segment:Imp:Pt:Heart:Nar:EKG
76638-6,RR interval,Time,Stdy^max,Heart,Qn,EKG,EKG.MEAS,2.54,ACTIVE,2,Observation,,s,R-R interval (Maximum value during study) by EKG,s,2.52,FALSE,RR interval:Time:Stdy^max:Heart:Qn:EKG
18505-8,RR interval,Time,Stdy^mean,Heart,Qn,EKG,EKG.MEAS,2.54,ACTIVE,2,Observation,,s,R-R interval (Mean value during study) by EKG,s,1.0l,FALSE,RR interval:Time:Stdy^mean:Heart:Qn:EKG
76639-4,RR interval,Time,Stdy^min,Heart,Qn,EKG,EKG.MEAS,2.54,ACTIVE,2,Observation,,s,R-R interval (Minimum value during study) by EKG,s,2.52,FALSE,RR interval:Time:Stdy^min:Heart:Qn:EKG
18843-3,Comparison.study,Imp,Pt,Heart,Nar,EKG,EKG.ATOM,2.29,ACTIVE,2,Observation,,,EKG Comparison study (narrative),,1.0l,FALSE,Comparison.study:Imp:Pt:Heart:Nar:EKG
