LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
92050-4,"Video electroencephalography study",Find,Pt,^Patient,Doc,{Role},NEURO,2.72,ACTIVE,2,Both,,,"Video EEG study",,2.66,false,"Video electroencephalography study:Find:Pt:^Patient:Doc:{Role}"
11523-8,"Electroencephalography study",Find,Pt,^Patient,Doc,,NEURO,2.72,ACTIVE,2,Both,,,"EEG study",,1.0j-a,false,"Electroencephalography study:Find:Pt:^Patient:Doc:"
60844-8,"Power spectrum.median frequency",Freq,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.70,ACTIVE,2,Both,,Hz,"Median power frequency on EEG",Hz,2.54,false,"Power spectrum.median frequency:Freq:Pt:Cerebral cortex:Qn:EEG"
60845-5,"Power spectrum.peak frequency",Freq,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.70,ACTIVE,2,Both,,Hz,"Peak power frequency on EEG",Hz,2.54,false,"Power spectrum.peak frequency:Freq:Pt:Cerebral cortex:Qn:EEG"
75941-5,"Power spectrum.total",EngRat,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.69,ACTIVE,2,Both,,mW,"Total power of power spectrum on EEG",mW,2.54,false,"Power spectrum.total:EngRat:Pt:Cerebral cortex:Qn:EEG"
75950-6,"Signal quality index",Ratio,Pt,"EEG device",Qn,Calculated,NEURO,2.69,ACTIVE,2,Both,,%,"Signal quality index EEG device Calculated",%,2.54,false,"Signal quality index:Ratio:Pt:EEG device:Qn:Calculated"
60848-9,"Power spectrum.alpha frequency/Power spectrum.total",EngRatFr,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.70,ACTIVE,2,Both,,%,"Alpha frequency relative power on EEG",%,2.54,false,"Power spectrum.alpha frequency/Power spectrum.total:EngRatFr:Pt:Cerebral cortex:Qn:EEG"
60849-7,"Power spectrum.beta frequency/Power spectrum.total",EngRatFr,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.70,ACTIVE,2,Both,,%,"Beta frequency relative power on EEG",%,2.54,false,"Power spectrum.beta frequency/Power spectrum.total:EngRatFr:Pt:Cerebral cortex:Qn:EEG"
60850-5,"Power spectrum.delta frequency/Power spectrum.total",EngRatFr,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.70,ACTIVE,2,Both,,%,"Delta frequency relative power on EEG",%,2.54,false,"Power spectrum.delta frequency/Power spectrum.total:EngRatFr:Pt:Cerebral cortex:Qn:EEG"
60851-3,"Power spectrum.theta frequency/Power spectrum.total",EngRatFr,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.70,ACTIVE,2,Both,,%,"Theta frequency relative power on EEG",%,2.54,false,"Power spectrum.theta frequency/Power spectrum.total:EngRatFr:Pt:Cerebral cortex:Qn:EEG"
60843-0,"Power spectrum.mean dominant frequency",Freq,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.70,ACTIVE,2,Both,,Hz,"Mean dominant power frequency on EEG",Hz,2.54,false,"Power spectrum.mean dominant frequency:Freq:Pt:Cerebral cortex:Qn:EEG"
60847-1,"Seizure count",Num,"Procedure dur","Cerebral cortex",Qn,EEG,NEURO,2.70,ACTIVE,2,,,#,"Seizure count Cerebral cortex Electroencephalogram (EEG)",{#},2.54,false,"Seizure count:Num:Procedure dur:Cerebral cortex:Qn:EEG"
75918-3,"Bispectral index",Score,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.69,ACTIVE,2,Both,,score,"Bispectral index Cerebral cortex Electroencephalogram (EEG)",{score},2.54,false,"Bispectral index:Score:Pt:Cerebral cortex:Qn:EEG"
75921-7,"Electrical potential",Elpot,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.69,ACTIVE,2,Both,,uv,"Electrical potential Cerebral cortex Electroencephalogram (EEG)",uV,2.54,false,"Electrical potential:Elpot:Pt:Cerebral cortex:Qn:EEG"
75954-8,"State entropy",Score,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.69,ACTIVE,2,Both,,score,"State entropy [Score] Cerebral cortex Electroencephalogram (EEG)",{score},2.54,false,"State entropy:Score:Pt:Cerebral cortex:Qn:EEG"
75949-8,"Response entropy",Score,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.69,ACTIVE,2,Both,,score,"Response entropy [Score] Cerebral cortex Electroencephalogram (EEG)",{score},2.54,false,"Response entropy:Score:Pt:Cerebral cortex:Qn:EEG"
75952-2,"SNAP index",Score,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.69,ACTIVE,2,Both,,score,"SNAP index Cerebral cortex Electroencephalogram (EEG)",{score},2.54,false,"SNAP index:Score:Pt:Cerebral cortex:Qn:EEG"
60846-3,"Burst count",Num,Pt,"Cerebral cortex",Qn,EEG,"IEEE Rosetta",2.70,ACTIVE,2,,,#,"Burst count Cerebral cortex Electroencephalogram (EEG)",{#},2.58,false,"Burst count:Num:Pt:Cerebral cortex:Qn:EEG"
83366-5,"Burst rate",NRat,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.58,ACTIVE,2,Observation,,/min,"Burst rate Cerebral cortex Electroencephalogram (EEG)",/min,2.58,false,"Burst rate:NRat:Pt:Cerebral cortex:Qn:EEG"
61010-5,"Burst suppression ratio",Ratio,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.70,ACTIVE,2,,,%,"Burst suppression ratio [Ratio] Cerebral cortex Electroencephalogram (EEG)",%,2.54,false,"Burst suppression ratio:Ratio:Pt:Cerebral cortex:Qn:EEG"
75953-0,"Spike count",NRat,Pt,"Cerebral cortex",Qn,EEG,NEURO,2.69,ACTIVE,2,Both,,#/min,"Spike count Cerebral cortex Electroencephalogram (EEG)",{#}/min,2.54,false,"Spike count:NRat:Pt:Cerebral cortex:Qn:EEG"
