LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
39258-9,"ENT screen assessment",Cmplx,Pt,ENT,Set,CPHS,ATTACH.CPHS,2.40,ACTIVE,3,,,,"ENT screen assessment Set CPHS",,2.15,false,"ENT screen assessment:Cmplx:Pt:ENT:Set:CPHS"
39261-3,"ENT screen finding recency",Type,Pt,ENT,Nom,CPHS,ATTACH.CPHS,2.27,ACTIVE,3,,,,"ENT screen finding recency CPHS",,2.15,false,"ENT screen finding recency:Type:Pt:ENT:Nom:CPHS"
39260-5,"ENT screen follow-up status",Type,Pt,ENT,Nom,CPHS,ATTACH.CPHS,2.27,ACTIVE,3,,,,"ENT screen follow-up status CPHS",,2.15,false,"ENT screen follow-up status:Type:Pt:ENT:Nom:CPHS"
39259-7,"ENT screen results indicator",Type,Pt,ENT,Nom,CPHS,ATTACH.CPHS,2.27,ACTIVE,3,,,,"ENT screen results indicator CPHS",,2.15,false,"ENT screen results indicator:Type:Pt:ENT:Nom:CPHS"
76586-7,"ENT microorganism gene identification panel",-,Pt,^Patient,-,Probe.amp.tar,PANEL.MICRO,2.63,ACTIVE,1,Order,,,"ENT microorganism gene identification panel by NAA with probe detection",,2.52,true,"ENT microorganism gene identification panel:-:Pt:^Patient:-:Probe.amp.tar"
31173-8,Mevinphos,MCnc,Pt,Bld,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ug/mL,"Mevinphos [Mass/volume] in Blood",ug/mL,2.07,false,Mevinphos:MCnc:Pt:Bld:Qn:
21388-4,Mevinphos,MCnc,Pt,Urine,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,ug/mL,"Mevinphos [Mass/volume] in Urine",ug/mL,1.0m,false,Mevinphos:MCnc:Pt:Urine:Qn:
35483-7,Mevinphos,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,ACTIVE,1,Both,,,"Mevinphos [Mass/volume] in Serum or Plasma",,2.13,false,Mevinphos:MCnc:Pt:Ser/Plas:Qn:
87630-0,Mevinphos,MCnt,Pt,XXX,Qn,,DRUG/TOX,2.69,ACTIVE,1,Both,,mg/kg,"Mevinphos [Mass/mass] in Specimen",mg/kg,2.63,false,Mevinphos:MCnt:Pt:XXX:Qn:
87655-7,"Heptachlor epoxide",MCnt,Pt,XXX,Qn,,DRUG/TOX,2.69,ACTIVE,1,Both,,ug/kg,"Heptachlor epoxide [Mass/mass] in Specimen",ug/kg,2.63,false,"Heptachlor epoxide:MCnt:Pt:XXX:Qn:"
