ECG copy
LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
78638-4,Flowsheet,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.54,ACTIVE,2,Both,,,Ophthalmology Flowsheet,,2.54,FALSE,Flowsheet:Find:Pt:{Setting}:Doc:Ophthalmology
78712-7,Checklist,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.54,ACTIVE,2,Both,,,Ophthalmology Checklist,,2.54,FALSE,Checklist:Find:Pt:{Setting}:Doc:Ophthalmology
84406-8,Diagram,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology Diagram,,2.58,FALSE,Diagram:Find:Pt:{Setting}:Doc:Ophthalmology
68576-8,Letter,Find,Pt,Hospital,Doc,Ophthalmology,DOC.ONTOLOGY,2.50,ACTIVE,2,Both,,,Ophthalmology Hospital Letter,,2.38,FALSE,Letter:Find:Pt:Hospital:Doc:Ophthalmology
34808-6,Note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.50,ACTIVE,2,Both,,,Ophthalmology Note,,2.11,FALSE,Note:Find:Pt:{Setting}:Doc:Ophthalmology
75462-2,Note,Find,Pt,Outpatient,Doc,Ophthalmology,DOC.ONTOLOGY,2.50,ACTIVE,2,Both,,,Ophthalmology Outpatient Note,,2.50,FALSE,Note:Find:Pt:Outpatient:Doc:Ophthalmology
94794-5,Note,Find,Pt,Telehealth,Doc,Ophthalmology,DOC.ONTOLOGY,2.68,ACTIVE,2,Both,,,Ophthalmology Telehealth Note,,2.68,FALSE,Note:Find:Pt:Telehealth:Doc:Ophthalmology
85881-1,Note,Find,Pt,Teleimaging,Doc,Ophthalmology,DOC.ONTOLOGY,2.61,ACTIVE,2,Both,,,Ophthalmology Teleimaging Note,,2.61,FALSE,Note:Find:Pt:Teleimaging:Doc:Ophthalmology
78657-4,Procedure note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology procedure note,,2.58,FALSE,Procedure note:Find:Pt:{Setting}:Doc:Ophthalmology
78512-1,Summary note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.63,ACTIVE,2,Both,,,Ophthalmology Summary note,,2.54,FALSE,Summary note:Find:Pt:{Setting}:Doc:Ophthalmology
57150-5,Referral note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.67,ACTIVE,2,Both,,,Ophthalmology Referral note,,2.29,FALSE,Referral note:Find:Pt:{Setting}:Doc:Ophthalmology
78608-7,Education note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.54,ACTIVE,2,Both,,,Ophthalmology Education note,,2.54,FALSE,Education note:Find:Pt:{Setting}:Doc:Ophthalmology
84407-6,Note,Find,Pt,Hospital,Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology Hospital Note,,2.58,FALSE,Note:Find:Pt:Hospital:Doc:Ophthalmology
84410-0,Note,Find,Pt,Telephone encounter,Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology Telephone encounter Note,,2.58,FALSE,Note:Find:Pt:Telephone encounter:Doc:Ophthalmology
84408-4,Procedure note,Find,Pt,Outpatient,Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology Outpatient procedure note,,2.58,FALSE,Procedure note:Find:Pt:Outpatient:Doc:Ophthalmology
78513-9,Summary of encounters note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.63,ACTIVE,2,Both,,,Ophthalmology Summary of encounters note,,2.54,FALSE,Summary of encounters note:Find:Pt:{Setting}:Doc:Ophthalmology
34807-8,Consultation note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology Consult note,,2.11,FALSE,Consultation note:Find:Pt:{Setting}:Doc:Ophthalmology
85882-9,Consultation note,Find,Pt,Teleimaging,Doc,Ophthalmology,DOC.ONTOLOGY,2.61,ACTIVE,2,Both,,,Ophthalmology Teleimaging Consult note,,2.61,FALSE,Consultation note:Find:Pt:Teleimaging:Doc:Ophthalmology
80779-2,Plan of care note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology Plan of care note,,2.56,FALSE,Plan of care note:Find:Pt:{Setting}:Doc:Ophthalmology
68574-3,Progress note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.73,ACTIVE,2,Both,,,Ophthalmology Progress note,,2.38,FALSE,Progress note:Find:Pt:{Setting}:Doc:Ophthalmology
68573-5,History and physical note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology History and physical note,,2.38,FALSE,History and physical note:Find:Pt:{Setting}:Doc:Ophthalmology
78573-3,Diagnostic study note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.54,ACTIVE,2,Both,,,Ophthalmology Diagnostic study note,,2.54,FALSE,Diagnostic study note:Find:Pt:{Setting}:Doc:Ophthalmology
68572-7,Discharge summary note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.73,ACTIVE,2,Both,,,Ophthalmology Discharge summary,,2.38,FALSE,Discharge summary note:Find:Pt:{Setting}:Doc:Ophthalmology
78714-3,Surgical operation note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology Surgical operation note,,2.54,FALSE,Surgical operation note:Find:Pt:{Setting}:Doc:Ophthalmology
68575-0,Consultation note,Find,Pt,Hospital,Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology Hospital Consult note,,2.38,FALSE,Consultation note:Find:Pt:Hospital:Doc:Ophthalmology
68887-9,Transfer summary note,Find,Pt,{Setting},Doc,Ophthalmology,DOC.ONTOLOGY,2.58,ACTIVE,2,Both,,,Ophthalmology Transfer summary note,,2.38,FALSE,Transfer summary note:Find:Pt:{Setting}:Doc:Ophthalmology
