Loinc_2.74_Export_20230728204751
LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
90353-4,Conscious sedation procedure note,Find,Pt,{Setting},Doc,{Role},DOC.ONTOLOGY,2.65,ACTIVE,2,Both,,,Conscious sedation procedure note,,2.65,FALSE,Conscious sedation procedure note:Find:Pt:{Setting}:Doc:{Role}
9301-3,Breaths^pre conscious sedation,NRat,Pt,Respiratory system,Qn,,RESP.MOLEC,2.42,ACTIVE,2,,,breaths/min,Respiratory rate --pre conscious sedation,{breaths}/min,1.0i,FALSE,Breaths^pre conscious sedation:NRat:Pt:Respiratory system:Qn:
25057-1,Multisection^W conscious sedation,Find,Pt,XXX,Doc,MR,RAD,2.69,ACTIVE,2,Both,,,MR Unspecified body region W conscious sedation,,1.0o,FALSE,Multisection^W conscious sedation:Find:Pt:XXX:Doc:MR
25047-2,Multisection^W conscious sedation,Find,Pt,XXX,Doc,CT,RAD,2.69,ACTIVE,2,Both,,,CT Unspecified body region W conscious sedation,,1.0o,FALSE,Multisection^W conscious sedation:Find:Pt:XXX:Doc:CT
9297-3,Breaths^post conscious sedation,NRat,Pt,Respiratory system,Qn,,RESP.MOLEC,2.42,ACTIVE,2,,,breaths/min,Respiratory rate --post conscious sedation,{breaths}/min,1.0i,FALSE,Breaths^post conscious sedation:NRat:Pt:Respiratory system:Qn:
95629-2,Sedation panel,-,Pt,^Patient,-,NPASS,PANEL.NEONAT,2.69,ACTIVE,2,Subset,© 2009 Pat Hummel Used with permission.,,Sedation panel NPASS,,2.69,FALSE,Sedation panel:-:Pt:^Patient:-:NPASS
95636-7,Sedation level,Find,Pt,^Patient,Ord,,NEONAT,2.70,ACTIVE,2,Observation,,,Sedation level,,2.69,FALSE,Sedation level:Find:Pt:^Patient:Ord:
95635-9,Sedation total score,Score,Pt,^Patient,Qn,NPASS,NEONAT,2.69,ACTIVE,2,Observation,© 2009 Pat Hummel Used with permission.,score,Sedation total score NPASS,{score},2.69,FALSE,Sedation total score:Score:Pt:^Patient:Qn:NPASS
95620-1,"Neonatal pain, agitation, & sedation scale panel",-,Pt,^Patient,-,NPASS,PANEL.NEONAT,2.69,ACTIVE,2,Order,© 2009 Pat Hummel Used with permission.,,"Neonatal pain, agitation, and sedation scale panel NPASS",,2.69,TRUE,"Neonatal pain, agitation, & sedation scale panel:-:Pt:^Patient:-:NPASS"
95631-8,Sedation level.behavior state,Find,Pt,^Patient,Ord,,NEONAT,2.72,ACTIVE,2,Observation,,,Sedation level.behavior state,,2.69,FALSE,Sedation level.behavior state:Find:Pt:^Patient:Ord:
95630-0,Sedation level.crying or irritability,Find,Pt,^Patient,Ord,,NEONAT,2.72,ACTIVE,2,Observation,,,Sedation level.crying or irritability,,2.69,FALSE,Sedation level.crying or irritability:Find:Pt:^Patient:Ord:
95633-4,Sedation level.extremities tone,Find,Pt,^Patient,Ord,,NEONAT,2.72,ACTIVE,2,Observation,,,Sedation level.extremities tone,,2.69,FALSE,Sedation level.extremities tone:Find:Pt:^Patient:Ord:
95632-6,Sedation level.facial expression,Find,Pt,^Patient,Ord,,NEONAT,2.72,ACTIVE,2,Observation,,,Sedation level.facial expression,,2.69,FALSE,Sedation level.facial expression:Find:Pt:^Patient:Ord:
95634-2,Sedation level.vital signs variability,Find,Pt,^Patient,Ord,,NEONAT,2.72,ACTIVE,2,Observation,,,Sedation level.vital signs variability,,2.69,FALSE,Sedation level.vital signs variability:Find:Pt:^Patient:Ord:
11485-0,Anesthesia records,Find,-,^Patient,Doc,,DOC.MISC,2.67,ACTIVE,2,Both,,,Anesthesia records,,1.0j-a,FALSE,Anesthesia records:Find:-:^Patient:Doc:
59774-0,Procedure anesthesia,Find,Pt,^Patient,Nar,,DOC.MISC,2.73,ACTIVE,2,Both,,,Procedure anesthesia Narrative,,2.32,FALSE,Procedure anesthesia:Find:Pt:^Patient:Nar:
61359-6,Anesthesia consent,Find,Pt,{Setting},Doc,Patient,DOC.ONTOLOGY,2.65,ACTIVE,2,Both,,,Anesthesia consent Document,,2.34,FALSE,Anesthesia consent:Find:Pt:{Setting}:Doc:Patient
10214-5,Surgical operation note anesthesia duration,Time,Procedure dur,Surgical procedure,Qn,,H&P.SURG PROC,2.27,ACTIVE,2,,,,Surgical operation note anesthesia duration,,1.0i,FALSE,Surgical operation note anesthesia duration:Time:Procedure dur:Surgical procedure:Qn:
57081-2,Anesthesia risk review of systems,Find,Pt,^Patient,Nar,,H&P.PX,2.63,ACTIVE,2,,,,Anesthesia risk review of systems Narrative,,2.29,FALSE,Anesthesia risk review of systems:Find:Pt:^Patient:Nar:
